Year,Event,Statistic
1901,Base on Balls,Dummy Hoy
1901,Batting Average,Nap Lajoie
1901,Doubles,Nap Lajoie
1901,Hits,Nap Lajoie
1901,Home Runs,Nap Lajoie
1901,On Base Percentage,Nap Lajoie
1901,RBI,Nap Lajoie
1901,Runs,Nap Lajoie
1901,Slugging Average,Nap Lajoie
1901,Stolen Bases,Frank Isbell
1901,Total Bases,Nap Lajoie
1901,Triples,Bill Keister
1901,Complete Games,Joe McGinnity
1901,ERA,Cy Young
1901,Games,Joe McGinnity
1901,Saves,Bill Hoffer
1901,Shutouts,Clark Griffith
1901,Cy Young,Boston
1901,Strikeouts,Cy Young
1901,Winning Percentage,Clark Griffith
1901,Wins,Cy Young
1901,Chicago White Sox,83
1901,Boston Americans,79
1901,Detroit Tigers,74
1901,Philadelphia Athletics,74
1901,Baltimore Orioles,68
1901,Washington Senators,61
1901,Cleveland Blues,54
1901,Milwaukee Brewers,48
1901,Base on Balls,Chicago
1901,Batting Average,Baltimore
1901,Doubles,Philadelphia
1901,Hits,Philadelphia
1901,Home Runs,Boston
1901,On Base Percentage,Baltimore
1901,Runs,Chicago
1901,Slugging Average,Baltimore
1901,Stolen Bases,Chicago
1901,Triples,Baltimore
1901,Complete Games,Philadelphia
1901,ERA,Chicago
1901,Fewest Hits Allowed,Boston
1901,Fewest Home Runs Allowed,Philadelphia
1901,Fewest Walks Allowed,Washington
1901,Saves,Cleveland
1901,Shutouts,Chicago
1901,Strikeouts,Boston
1902,Base on Balls,Topsy Hartsel
1902,Batting Average,Ed Delahanty
1902,Doubles,Harry Davis
1902,Ed Delahanty,Washington
1902,Hits,Charlie Hickman
1902,Home Runs,Socks Seybold
1902,On Base Percentage,Ed Delahanty
1902,RBI,Buck Freeman
1902,Runs,Dave Fultz
1902,Slugging Average,Ed Delahanty
1902,Stolen Bases,Topsy Hartsel
1902,Total Bases,Charlie Hickman
1902,Triples,Jimmy Williams
1902,Complete Games,Cy Young
1902,ERA,Ed Siever
1902,Games,Cy Young
1902,Saves,Jack Powell
1902,Shutouts,Addie Joss
1902,Strikeouts,Rube Waddell
